detector,dataset,sample_index,duration,n_onsets,n_segments,n_truncated,mean_window_frames,root,thirds,triads,majmin,mirex,underseg,overseg,seg
superflux,normal_no-sustain,10,14.826666666666666,10,10,9,135.9,0.9920758903303224,0.9920758903303224,0.9920758903303224,0.9921037362193801,0.9920758903303224,0.6900541103488873,1.0,0.6900541103488873
superflux,normal_no-sustain,11,17.642666666666667,10,10,4,156.7,0.9945436225023289,0.9945436225023289,0.9933648928686856,0.9935993599359934,0.9933648928686856,0.6973516606779595,0.9997908705488697,0.6973516606779595
superflux,normal_no-sustain,12,18.421333333333333,10,10,5,157.9,0.9956015994183931,0.9951290439840056,0.9951290439840056,0.9960643052498164,0.9951290439840056,0.7444383860414396,0.9989094874591057,0.7444383860414396
superflux,normal_no-sustain,13,20.341333333333335,10,10,5,173.2,0.9934308846956036,0.9929217782595129,0.9929217782595129,0.9899325921386677,0.9929217782595129,0.6695242318240789,0.9958943029347523,0.6695242318240789
superflux,normal_no-sustain,14,20.82133333333333,10,10,5,174.3,0.9900334362139916,0.9900334362139916,0.9900334362139916,0.9921178178801077,0.9900334362139916,0.7423804012345677,0.9992444701646089,0.7423804012345677
superflux,normal_no-sustain,15,17.226666666666667,10,10,7,146.5,0.9935516451074078,0.9933379947947014,0.9933379947947014,0.9949007973298722,0.9933379947947014,0.6924989317484365,0.997552732781727,0.6924989317484365
superflux,normal_no-sustain,16,20.170666666666666,11,11,5,162.0909090909091,0.9730367710619059,0.9723385863421772,0.9723385863421772,0.9682059794099631,0.9723385863421772,0.7560176873462333,0.9996509076401358,0.7560176873462333
superflux,normal_no-sustain,17,18.784,10,10,7,163.9,0.9891656865889731,0.988524181189636,0.988524181189636,0.9890385096996667,0.988524181189636,0.7707152785202609,0.9984675148793613,0.7707152785202609
superflux,normal_no-sustain,18,17.824,10,10,6,157.3,0.9946681685910074,0.9945742983197223,0.9945742983197223,0.9968916645279039,0.9945742983197223,0.7288463343659063,0.9970524734816484,0.7288463343659063
superflux,normal_no-sustain,19,18.005333333333333,10,10,6,152.1,0.9945318602834505,0.9945318602834505,0.9945318602834505,0.9941779226828134,0.9945318602834505,0.7483539783506303,0.9989026522337537,0.7483539783506303
superflux,normal_no-sustain,20,19.21066666666667,10,10,6,164.0,0.9931997698383638,0.9931997698383638,0.9931997698383638,0.993100729351469,0.9931997698383638,0.6797614688497149,0.9996163972729334,0.6797614688497149
superflux,normal_no-sustain,21,22.986666666666668,11,11,3,173.9090909090909,0.9616754627004552,0.9616754627004552,0.9616754627004552,0.9903248954544328,0.9616754627004552,0.7007458455096611,0.9981971765458485,0.7007458455096611
superflux,normal_no-sustain,22,19.082666666666668,10,10,6,165.6,0.9914345391676761,0.9899601565653907,0.9899601565653907,0.9908207919735301,0.9899601565653907,0.711494918645674,0.9986133782668986,0.711494918645674
superflux,normal_no-sustain,23,18.005333333333333,10,10,6,152.0,0.9880740080249663,0.9880740080249663,0.9880740080249663,0.986540348295315,0.9880740080249663,0.6837382969237629,0.9977894189329766,0.6837382969237629
